                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.74534,                 1.6644,                0.45513,                  1.051,                 0.8525,                0.85915,                0.91011,                0.63456,                0.84581,                0.84985,                 0.9015,                 0.5485,                  1.101,                 2.1145,                0.65519,                 1.3609,              0.0009506,              0.0009506,              0.0009506
                     56,                0.73275,                 1.6673,                 0.4315,                 1.0281,                0.85757,                0.84803,                0.90985,                0.63065,                 0.8443,                0.84859,                0.90458,                0.54343,                 1.1068,                 2.1149,                0.65611,                 1.3736,              0.0009308,              0.0009308,              0.0009308
                     57,                0.73355,                 1.6058,                0.43033,                 1.0229,                0.86065,                0.82042,                0.89959,                0.62541,                0.87478,                0.81173,                0.90143,                0.54683,                 1.1692,                 2.1558,                0.65972,                 1.4064,               0.000911,               0.000911,               0.000911
                     58,                0.74729,                 1.6705,                0.43129,                 1.0225,                0.83307,                0.86105,                0.91097,                0.62572,                0.82966,                0.85752,                0.89658,                0.55104,                 1.1819,                 2.2006,                0.64574,                 1.4059,              0.0008912,              0.0008912,              0.0008912
                     59,                0.74857,                 1.6574,                0.44616,                 1.0133,                0.83833,                 0.8764,                0.90656,                0.62942,                0.83448,                0.86982,                0.89959,                0.55313,                 1.1492,                 2.1618,                0.65379,                 1.3784,              0.0008714,              0.0008714,              0.0008714
                     60,                0.74212,                 1.6282,                0.43839,                 1.0307,                0.85306,                0.86268,                0.91195,                0.63036,                0.85654,                 0.8662,                0.91516,                0.55373,                 1.1454,                 2.1392,                0.62159,                  1.376,              0.0008516,              0.0008516,              0.0008516
                     61,                0.75274,                 1.6447,                0.45313,                 1.0526,                0.85857,                0.86268,                0.91535,                0.63149,                0.83051,                0.87991,                0.90397,                0.55871,                 1.1256,                  2.111,                0.62271,                 1.3488,              0.0008318,              0.0008318,              0.0008318
                     62,                0.70508,                 1.5604,                0.41127,                 1.0224,                0.84736,                0.87962,                 0.9149,                0.63499,                0.82058,                0.85915,                0.90096,                0.56023,                 1.1469,                 2.0918,                0.64046,                  1.379,               0.000812,               0.000812,               0.000812
                     63,                0.73853,                 1.6008,                 0.4331,                 1.0293,                 0.8534,                0.84039,                0.90326,                0.61691,                0.86958,                0.80986,                 0.8937,                0.54106,                 1.1381,                 2.1216,                0.64808,                 1.3802,              0.0007922,              0.0007922,              0.0007922
                     64,                0.72653,                 1.6202,                0.41454,                 0.9945,                0.88144,                0.81151,                0.89753,                0.62317,                0.87761,                0.80799,                0.89627,                0.54016,                 1.1216,                 2.1343,                0.63652,                 1.3581,              0.0007724,              0.0007724,              0.0007724
                     65,                0.71292,                 1.5714,                0.42002,                0.99384,                0.85134,                0.85563,                0.90883,                0.64848,                0.87899,                 0.8169,                0.90192,                0.56072,                  1.086,                 2.1273,                0.60769,                 1.3294,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.7209,                 1.6003,                0.41099,                0.99178,                0.86801,                0.85563,                0.92261,                0.65067,                0.85717,                0.82413,                0.89586,                0.55527,                 1.0887,                 2.1422,                 0.6136,                 1.3334,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.7034,                 1.6093,                0.40958,                0.98855,                0.90291,                0.80986,                0.91799,                0.64645,                0.89506,                0.80282,                0.90185,                0.55667,                  1.082,                 2.1275,                0.62003,                 1.3281,               0.000713,               0.000713,               0.000713
                     68,                0.67874,                 1.5537,                0.39537,                 1.0029,                0.91175,                0.80028,                0.92075,                0.64832,                0.89971,                0.78972,                0.89773,                0.55439,                 1.0846,                 2.1121,                0.61851,                 1.3355,              0.0006932,              0.0006932,              0.0006932
                     69,                0.68116,                 1.5468,                0.38949,                0.98965,                   0.88,                0.80282,                0.91164,                0.63773,                0.88571,                 0.7993,                0.89358,                0.56228,                 1.0698,                 2.0917,                0.61569,                 1.3295,              0.0006734,              0.0006734,              0.0006734
                     70,                0.69934,                 1.5442,                0.39675,                0.98206,                0.87466,                0.81085,                0.90854,                0.63627,                0.86292,                0.79797,                 0.8847,                0.55647,                 1.0687,                   2.08,                0.62228,                 1.3392,              0.0006536,              0.0006536,              0.0006536
                     71,                0.67418,                 1.5392,                0.38438,                0.99493,                0.88277,                0.80282,                0.91201,                0.65091,                0.87802,                 0.7993,                0.90007,                0.55955,                 1.0631,                 2.0785,                0.60618,                 1.3267,              0.0006338,              0.0006338,              0.0006338
                     72,                0.68042,                 1.5662,                0.37674,                0.96035,                0.87724,                 0.8169,                 0.9176,                0.65393,                0.81876,                 0.8749,                0.91377,                0.57528,                 1.0617,                 2.0691,                0.59253,                 1.3243,               0.000614,               0.000614,               0.000614
                     73,                0.66755,                 1.5544,                  0.388,                0.98722,                0.89573,                0.82746,                0.91696,                0.65508,                0.89192,                0.82394,                0.90728,                0.58453,                 1.0696,                 2.0893,                0.58781,                  1.333,              0.0005942,              0.0005942,              0.0005942
                     74,                0.66258,                 1.5097,                 0.3697,                0.95548,                0.89961,                0.82394,                0.92447,                0.65397,                0.89599,                0.81338,                0.90476,                0.57319,                 1.0595,                 2.1012,                0.60984,                 1.3111,              0.0005744,              0.0005744,              0.0005744
                     75,                0.63666,                 1.5129,                0.36252,                0.96205,                0.91292,                0.81212,                0.92161,                0.64375,                0.89686,                0.79606,                0.89585,                0.55861,                 1.0618,                 2.1162,                0.63355,                 1.3363,              0.0005546,              0.0005546,              0.0005546
                     76,                0.63671,                 1.4691,                0.36597,                  0.957,                0.84006,                 0.8838,                0.92579,                0.64771,                0.89026,                0.79985,                0.90186,                0.56152,                  1.063,                 2.1211,                0.63901,                 1.3397,              0.0005348,              0.0005348,              0.0005348
                     77,                0.65958,                 1.4664,                0.36703,                 0.9476,                0.88744,                0.83286,                0.92154,                0.64474,                0.87538,                0.82042,                0.89791,                0.57168,                 1.0818,                 2.1395,                0.63436,                 1.3693,               0.000515,               0.000515,               0.000515
                     78,                0.63347,                 1.4725,                0.36511,                0.98164,                0.89158,                0.83451,                0.92414,                0.64627,                0.87707,                0.82042,                0.89917,                0.56931,                 1.0789,                 2.1274,                0.63796,                 1.3654,              0.0004952,              0.0004952,              0.0004952
                     79,                0.63476,                  1.447,                0.35522,                0.96466,                0.91166,                0.83579,                0.93592,                0.65867,                0.89403,                0.80205,                0.91761,                0.57768,                 1.0545,                 2.0804,                 0.6143,                 1.3229,              0.0004754,              0.0004754,              0.0004754
                     80,                0.64128,                 1.4714,                0.35755,                0.96245,                0.90463,                0.83451,                0.93409,                0.65869,                0.90781,                0.79745,                0.92134,                0.58795,                 1.0491,                 2.0781,                0.60118,                 1.3111,              0.0004556,              0.0004556,              0.0004556
                     81,                0.63942,                  1.459,                0.35646,                0.95234,                 0.8726,                0.83803,                0.92566,                0.66338,                0.90409,                0.79663,                0.92044,                0.58543,                 1.0656,                 2.0752,                0.58607,                 1.3212,              0.0004358,              0.0004358,              0.0004358
                     82,                0.64829,                 1.4813,                0.36424,                0.96256,                0.88282,                0.82394,                0.93008,                0.65794,                0.84394,                0.83803,                0.91247,                0.58534,                 1.0722,                 2.0746,                0.58703,                 1.3347,               0.000416,               0.000416,               0.000416
                     83,                0.61964,                 1.4508,                0.34857,                0.95731,                 0.8666,                0.82346,                0.91963,                0.65448,                0.85919,                0.81641,                0.91004,                0.57567,                  1.064,                 2.0793,                0.60569,                 1.3371,              0.0003962,              0.0003962,              0.0003962
                     84,                0.62581,                 1.4326,                0.35339,                0.95871,                0.86886,                0.81653,                0.91839,                0.65839,                0.87607,                0.82145,                0.91094,                0.57679,                 1.0648,                 2.0768,                0.59929,                 1.3441,              0.0003764,              0.0003764,              0.0003764
                     85,                0.58653,                 1.4191,                0.33451,                0.93374,                0.84126,                 0.8584,                0.92366,                0.65712,                0.86699,                0.82629,                0.91303,                0.58686,                 1.0532,                 2.0829,                0.59412,                 1.3381,              0.0003566,              0.0003566,              0.0003566
                     86,                0.57813,                  1.402,                 0.3365,                0.95092,                0.84369,                0.86268,                0.92292,                0.65807,                 0.9163,                0.78169,                0.90482,                0.58328,                 1.0593,                 2.0935,                0.59888,                 1.3505,              0.0003368,              0.0003368,              0.0003368
                     87,                0.57596,                 1.4226,                0.32812,                0.94355,                 0.8373,                0.85166,                 0.9132,                0.64788,                0.91193,                0.77465,                0.89755,                0.56963,                 1.0618,                 2.1147,                0.60717,                 1.3522,               0.000317,               0.000317,               0.000317
                     88,                0.59992,                 1.4315,                 0.3448,                0.94974,                0.85415,                0.85563,                0.92295,                0.65062,                0.90998,                0.77817,                0.90224,                0.56665,                 1.0683,                 2.1181,                0.59965,                 1.3614,              0.0002972,              0.0002972,              0.0002972
                     89,                0.57026,                 1.3753,                0.33015,                 0.9332,                0.84568,                0.85563,                0.92452,                0.65154,                0.84257,                 0.8292,                0.89737,                0.56869,                 1.0707,                  2.087,                0.59233,                 1.3625,              0.0002774,              0.0002774,              0.0002774
                     90,                0.58648,                 1.3883,                 0.3412,                0.94094,                0.85131,                0.84859,                0.92476,                0.65454,                0.84239,                0.83451,                0.89852,                0.56933,                 1.0623,                 2.0732,                0.59383,                 1.3535,              0.0002576,              0.0002576,              0.0002576
                     91,                0.58468,                 1.3434,                0.32883,                0.93234,                0.91208,                0.80986,                0.92692,                0.65573,                0.90066,                 0.7993,                0.90368,                0.57423,                 1.0651,                 2.0733,                0.60475,                 1.3543,              0.0002378,              0.0002378,              0.0002378
                     92,                0.58226,                 1.3809,                0.32843,                0.91825,                0.90832,                0.81338,                0.92694,                0.65272,                0.90182,                0.80634,                0.90526,                0.57569,                 1.0635,                  2.079,                0.60194,                 1.3525,               0.000218,               0.000218,               0.000218
                     93,                0.56653,                 1.3713,                0.32595,                0.92259,                0.82875,                0.88607,                0.93075,                0.66051,                0.90452,                0.78873,                0.90482,                0.57834,                 1.0429,                 2.0997,                 0.6002,                 1.3348,              0.0001982,              0.0001982,              0.0001982
                     94,                0.57787,                  1.384,                 0.3346,                0.93432,                 0.8809,                0.83336,                0.93176,                0.66126,                0.87108,                 0.8169,                0.90589,                0.58169,                 1.0346,                 2.1118,                0.60297,                 1.3321,              0.0001784,              0.0001784,              0.0001784
                     95,                0.58273,                 1.3862,                0.32437,                0.93509,                0.85797,                0.85211,                0.92496,                0.66076,                0.88946,                0.77817,                0.90027,                0.57536,                 1.0425,                 2.1265,                0.60045,                 1.3419,              0.0001586,              0.0001586,              0.0001586
                     96,                0.55064,                 1.3507,                0.32024,                0.93037,                0.84322,                0.85218,                0.92268,                0.65565,                 0.9086,                0.77008,                0.91342,                0.57331,                 1.0528,                   2.13,                0.60335,                 1.3534,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.5427,                 1.3356,                0.30911,                0.92869,                0.81065,                0.87432,                0.91909,                0.65461,                0.79747,                0.87346,                0.90786,                0.57433,                 1.0543,                 2.1289,                0.60731,                  1.347,               0.000119,               0.000119,               0.000119
                     98,                0.55126,                 1.3219,                0.31135,                 0.9224,                0.80951,                0.88028,                0.92268,                0.65422,                0.92375,                0.76761,                0.90977,                0.57912,                 1.0538,                 2.1319,                0.60447,                 1.3476,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.55015,                 1.3577,                0.31419,                0.91902,                0.80029,                0.88896,                0.92224,                0.65667,                0.91898,                0.76761,                 0.9067,                 0.5817,                 1.0474,                 2.1311,                 0.5994,                 1.3452,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.56797,                 1.3372,                0.32221,                0.91456,                0.80244,                0.88671,                0.92134,                0.65813,                0.92044,                0.76761,                0.90698,                0.58228,                 1.0528,                 2.1294,                 0.5977,                 1.3517,               5.96e-05,               5.96e-05,               5.96e-05
